# 2024-02 一期园区电 缺读数表清单（spec §J5 只读回归核对产出，2026-08-01）
# 口径：kind='elec' AND zone='p1' AND 不存在 meter_reading(ym='2024-02') 的全部表档案，共 30 块。
# 原册事实源：一期2024年2月水电费.xlsx / sheet「一期园区电」（openpyxl 直读，非转述）。
# 归类：J1可解 = 同 addrKey 多候选、导入行企业名称与档案 tenant_name 精确相等且在候选内唯一 → §J1 收窄层可命中
#       原册无此行 = 该表在原册 2024-02 全簿零出现，不是缺陷
#       其他 = 原册有行但 §J1 收窄层仍落空（原因见 note 列）
# book_qty = 原册 S 列「本月用电量」；对楼栋分表Σ 的实际缺口只由 book_qty>0 的行构成。
id	name	tenant_name	area	spot	sub_name	code	ownership	building_id	building	class	book_qty	evidence	note
243	南盛物流电	南盛物流	A座	四楼428室	电表①	220605000144	tenant	13	一期 A座	原册无此行	0	全簿关键词「南盛」命中 0 处；同位置原册行是 r69 周应佳电(码 220605000033)	r69 已按编码落到 meter 1424，A座Σ 不缺
1422	A座-一楼-电表①	门岗	A座	一楼	电表①	220710000292	park	13	一期 A座	原册无此行	0	原册「门岗」唯一行 r15 码=221103010198 → 已落到 meter 189	本档编码 220710000292 全簿零出现；建档时间 2026-07-29，本身就是一次无标识列导入新建出来的重复档
1423	A座-二楼201室、202室-电表⑤	旭化成	A座	二楼201室、202室	电表⑤	202005200003	tenant	13	一期 A座	原册无此行	0	原册旭化成⑤唯一行 r25「旭化成电表5新」码=230828010084 倍率120 → 已落到 meter 199	本档编码 202005200003 倍率 240 全簿零出现，是换表前的旧表；同上为 2026-07-29 新建重复档
308	力美C201东侧公共电	公共用电	C座	二楼东侧	电表①		share	21	一期 C座	其他	0	原册 r132 存在，但 D 列原文='公共用电 停用'；同键候选 307/308	档案 tenant_name='公共用电'≠原册'公共用电 停用' → §J1 精确相等收窄结果为 0 条，仍抛歧义。用电量 0，不影响 C座Σ；如需闭合须人工把档案 tenant_name 对齐原册或补编码
225	A4东侧总1		A座	四楼东侧	总电表		infra	13	一期 A座	其他	0	原册 r51 存在（S=0）；同键候选 225/226	原册 D 列（企业名称）为空 → §J1 收窄层被跳过（不能拿空值筛），仍歧义。infra 不入分表Σ 且用电量 0，无账面影响
226	A4东侧总2		A座	四楼东侧	总电表		infra	13	一期 A座	其他	0	原册 r52 存在（S=0）；同键候选 225/226	同上
368	EF充电车棚		<NULL>	E、F座之间充电车棚	<NULL>		share	24	一期 F座	其他	0	原册 r195 存在且 S=220；本次导入另建 meter 1443 承接了这 220 度	档案 area 为 NULL → 根本不进 byAddr 索引，L2 够不着；原册 D 列也为空 → §J1 无从收窄。丢标识列后 L3 也落空 → 新建。F座Σ 因 1443 顶上而不缺这 220，但库里多了一块重复表
1139	邱彩云东侧公共电		<NULL>	<NULL>	<NULL>		share	22	一期 D座	其他	0	原册 r151 存在（S=0）；本次导入另建 meter 1441 承接	档案 area/spot/sub_name 全 NULL 且已标 suspect='shadow' → 不进 byAddr；原册 A 列='邱彩云东侧公共电' 与档案 name 相等，若文件带标识列本可由 L3 命中
# ── 附：本次（2026-08-01 19:34）导入新建的 4 块表，属验收线 2「新建不许增加」的实测证据 ──
# 1441	D座-一楼东侧-电表①	公共用电/宇劲	D座	一楼东侧	电表①		share	22	重复档	原册 r151，与 1139 同一块物理表
# 1442	E座	光伏工程用电	E座	<NULL>	<NULL>		share	23	真新建	原册 r172「光伏工程」库中确无旧档
# 1443	F座-E、F座之间充电车棚		F座	E、F座之间充电车棚	<NULL>		share	24	重复档	原册 r195，与 368 同一块物理表
# 1444	F座-四楼401室-电表②	（空）F座1楼楼梯间	F座	四楼401室	电表②		tenant	24	真新建	原册 r205「F401电2」库中确无旧档
