池ID	旧名	新楼栋	新楼层	新侧向	新费项	新池名	依据(绑定表spot原文)	置信度	含租户名	备注	受益人置信度	受益人依据	受益人
15	五车间广告字灯（消防分表）	二期 五车间			广告字灯	二期 五车间·广告字灯	消防分表	高				无受益人:单价档0.005叠进园区消防设施V46,不直接向户收	
16	五车间电梯+低压电房照明	二期 五车间			电梯+低压电房照明	二期 五车间·电梯+低压电房照明	火炬园广告字;五车间电梯	高			中	该车间在租租户自动带出(合同 building_id=34,10 户;与账册已分摊列行数核对一致)	10户
17	五车间广告字灯（火炬园）	二期 五车间			广告字灯（火炬园）	二期 五车间·广告字灯（火炬园）	火炬园广告字	中		五车间电梯分表,度数从平段冲减后单独向火炬园收取;与池15同栋须区分	中	账册X89『收取火炬园，五车间电梯表冲减』,P70=670.06度单独向火炬园收	1户
18	五车间保安亭、路灯等	二期园区(楼栋置空)			路灯	二期园区·路灯	园区保安亭路灯	高		园区级池但 rule.building_id=34(二期 五车间)已置空		园区/期级池,受益人=该期(宿舍区)在租租户自动带出(拍板#5),不落库	
19	五车间充电桩/保安亭	二期园区(楼栋置空)			充电桩、保安亭	二期园区·充电桩、保安亭	园区充电桩	高		园区级池但 rule.building_id=34(二期 五车间)已置空		无受益人:S101『不分摊』,成本全额挂亏(Y101=-1717.05)	
20	六车间消防	二期 六车间			消防	二期 六车间·消防	六车间消防;消防分表	高			中	该车间在租租户自动带出(合同 building_id=35,11 户;与账册已分摊列行数核对一致);账册归属切割:+方凯鑫	12户
21	六车间广告字灯（消防分表）	二期 六车间			广告字灯	二期 六车间·广告字灯	消防分表	高				无受益人:同上(六车间广告字→V46)	
22	六车间电梯+低压电房照明	二期 六车间			电梯+低压电房照明	二期 六车间·电梯+低压电房照明	六车间电梯2	高			中	该车间在租租户自动带出(合同 building_id=35,11 户;与账册已分摊列行数核对一致)	11户
23	招商中心净电	一期 招商中心			净电	一期 招商中心·净电	三楼东侧;优凯A305电;三楼K306室;四楼	中		招商中心总表-子表-670度自用,整栋净额		无受益人:总表净额经 fold_qty 折入一期园区公摊池,不直接向租户收	
24	园区公共电	一期园区(楼栋置空)			公共电（园区损耗池）	一期园区·公共电（园区损耗池）	负一层;负一层;负一层;一楼	中		绑定表 spot 楼层不一致(取众数);一期园区公共5表Σ/6 平摊进 A-F 座损耗率		园区/期级池,受益人=该期(宿舍区)在租租户自动带出(拍板#5),不落库	
25	园区路灯	一期园区(楼栋置空)			路灯	一期园区·路灯	一楼	高		园区级池但 rule.building_id=13(一期 A座)已置空		园区/期级池,受益人=该期(宿舍区)在租租户自动带出(拍板#5),不落库	
26	旭化成1东公	一期 A座	一楼	东侧	公共用电	一期 A座·一楼东侧·公共用电	一楼东侧	高	旭化成		高	绑定表用途字段『公共用电/旭化成 停用』	1户
27	旭化成2东公	一期 A座	二楼	东侧	公共用电	一期 A座·二楼东侧·公共用电	二楼东侧	高	旭化成		高	绑定表用途字段『公共用电/旭化成』	1户
28	A2西侧公共	一期 A座	二楼	西侧	公共用电	一期 A座·二楼西侧·公共用电	二楼西侧	高			高	账册A2西侧公共 AA15=1734.73=五户面积和,已逐户核实	5户
29	A3西侧公共	一期 A座	三楼	西侧	公共用电	一期 A座·三楼西侧·公共用电	三楼西侧	高			中	账册A3西侧公共 范围列7户;AA16=2293.34 只含前6户面积(建奕超基数收取)	7户
30	中大4楼公共	一期 招商中心	四楼		公共用电	一期 招商中心·四楼·公共用电	四楼	中		费项名取自旧池名		待人工:中大4楼公共『已停用』,受益人存疑	
31	4楼空调外机电	一期 招商中心	四楼		空调外机	一期 招商中心·四楼·空调外机	四楼	高				待人工:4楼空调外机电『已停用』,zh G17 曾按 AC18×7 用作双成空调风机费	
32	A4东侧公共	一期 A座	四楼	东侧	公共用电	一期 A座·四楼东侧·公共用电	四楼东侧	高			低	账册A4东侧公共 名单4户,但 zh 表实收6户(精锐佳/炳记/帷幄/幸悦/重瞳/林观平445)三者不一致 ⚠租户档未匹配:精锐佳	3户
33	A4西侧走廊灯	一期 A座	四楼	西侧	走廊灯	一期 A座·四楼西侧·走廊灯	四楼西侧	高			低	账册A4西侧 名单5户面积和575.59≠AA20=734.02;zh 实收8户(另含黄路生/沈振/周应佳)	5户
34	A4西侧消防灯	一期 A座	四楼	西侧	应急灯	一期 A座·四楼西侧·应急灯	四楼西侧	高			低	同 A4 西侧走廊灯(双表同池,行20/21 共基数)	5户
35	戎合A501公共	一期 A座	五楼	东侧	公共用电	一期 A座·五楼东侧·公共用电	五楼东侧	高	戎合		高	绑定表用途字段『公共用电/戎合』	1户
36	鑫皇公共	一期 A座	五楼	西侧	公共用电	一期 A座·五楼西侧·公共用电	五楼西侧	高	鑫皇		高	绑定表用途字段『公共用电/鑫皇』	1户
37	A6东侧走廊灯	一期 A座	六楼	东侧	走廊灯	一期 A座·六楼东侧·走廊灯	六楼东侧	高			中	账册A6东侧 AA24=1417.26=五户面积和已核实;zh 另对林观平620(95.43㎡)收取	5户
38	A6东侧消防灯	一期 A座	六楼	东侧	应急灯	一期 A座·六楼东侧·应急灯	六楼东侧	高			中	同 A6 东侧走廊灯(双表同池,行24/25 共基数)	5户
39	可莱恩A602公共电	一期 A座	六楼	西侧	公共用电	一期 A座·六楼西侧·公共用电	六楼西侧	高	可莱恩		高	绑定表用途字段『公共用电/可莱恩 停用』	1户
40	A东侧货梯	一期 A座			电梯	一期 A座·电梯	天面;天面;天面 1;天面 到-1楼	高		绑定表用途混合(客梯/货梯)→取上位词		待人工:A座四梯合并÷12487.04『A座计费面积』,与在租面积17424.19不符;孵化器户走固定额,需人工勾全A座在租户	
41	戎合B101公共电	一期 B座			公共用电	【待人工】	无绑定表	低	戎合	费项名取自旧池名;账册一期 B 座首层户对户池(行33/34 之一),侧向无依据	中	旧池名含租户名『戎合』(无表用途依据)	1户
42	杨文正公共电	一期 B座			公共用电	【待人工】	无绑定表	低	杨文正	费项名取自旧池名;账册一期 B 座首层户对户池(行33/34 之一),侧向无依据	中	旧池名含租户名『杨文正』(无表用途依据)	1户
43	可莱恩B201东侧公共电	一期 B座	二楼	东侧	公共用电	一期 B座·二楼东侧·公共用电	二楼东侧	高	可莱恩		高	绑定表用途字段『公共用电/可莱恩』	1户
44	可莱恩B201西侧公共电	一期 B座	二楼	西侧	公共用电	一期 B座·二楼西侧·公共用电	二楼西侧	高	可莱恩		高	绑定表用途字段『公共用电/可莱恩』	1户
45	欧培仪东侧公共	一期 B座	三楼	东侧	公共用电	一期 B座·三楼东侧·公共用电	三楼东侧	高	欧培仪		高	绑定表用途字段『公共用电/雷莱』	1户
46	欧培仪西侧公共	一期 B座	三楼	西侧	公共用电	一期 B座·三楼西侧·公共用电	三楼西侧	高	欧培仪		高	绑定表用途字段『公共用电/雷莱』	1户
47	碧沃丰B401东侧公共电	一期 B座	四楼	东侧	公共用电	一期 B座·四楼东侧·公共用电	四楼东侧	高	碧沃丰		高	绑定表用途字段『公共用电/碧沃丰』	1户
48	碧沃丰B401西侧公共电	一期 B座	四楼	西侧	公共用电	一期 B座·四楼西侧·公共用电	四楼西侧	高	碧沃丰		高	绑定表用途字段『公共用电/碧沃丰』	1户
49	B东侧楼梯间	一期 B座			楼梯间	一期 B座·楼梯间	天面;天面	高			高	账册B座楼梯间 分摊系数4=首层两户各0.5份+2F/3F/4F各1份	5户
50	B东侧货梯	一期 B座			货梯	一期 B座·货梯	天面;天面	高			高	账册B座货梯 系数3=2F/3F/4F各一整份(首层不摊)	3户
51	高建军C公共	一期 C座			公共用电	【待人工】	无绑定表	低	高建军	费项名取自旧池名;账册一期 C 座首层户对户池(行46),侧向无依据	中	旧池名含租户名『高建军』(无表用途依据)	1户
52	力美C201东侧公共电	一期 C座	二楼	东侧	公共用电	一期 C座·二楼东侧·公共用电	二楼东侧	高	力美		中	旧池名含租户名『力美』(无表用途依据)	1户
53	C2消防	一期 C座	二楼		消防	一期 C座·二楼·消防	二楼	高				待人工:账册C2消防 范围列9户(顺心鸿…优硕达),AA=1503.10 只含8户面积,doc 未逐户列名	
54	C2走廊	一期 C座	二楼		走廊灯	一期 C座·二楼·走廊灯	二楼	高				待人工:同 C2 走廊(双表同池)	
55	力美C301东侧公共电	一期 C座	三楼	东侧	公共用电	一期 C座·三楼东侧·公共用电	三楼东侧	高	力美		中	旧池名含租户名『力美』(无表用途依据)	1户
56	道磁C401东侧公共电	一期 C座	四楼	东侧	公共用电	一期 C座·四楼东侧·公共用电	四楼东侧	高				待人工:账册行54『道磁C401空租,AE54=0手输』,租户档无『道磁』	
57	可莱恩C402西侧公共电	一期 C座	四楼	西侧	公共用电	一期 C座·四楼西侧·公共用电	四楼西侧	高	可莱恩		高	绑定表用途字段『公共用电/可莱恩』	1户
58	C东侧楼梯间	一期 C座			楼梯间	一期 C座·楼梯间	天面;天面	高				待人工:C座楼梯间4份:1F高建军+杨道扬/卢志华/诺玲(两套面积基数2562/2322)+2F九户+3F各半+4F可莱恩半份	
59	C东侧货梯电表1	一期 C座		东侧	货梯	一期 C座·东侧·货梯	天面;天面;天面	高				待人工:C座东侧货梯:2楼各户按面积+3F陈相钊整份	
60	C西侧货梯	一期 C座		西侧	货梯	一期 C座·西侧·货梯	天面	高				待人工:C座西侧货梯:2楼各户按面积+3F邹同稳整份+4F可莱恩C402整份	
61	邱彩云东侧公共电	一期 D座	一楼	东侧	公共用电	一期 D座·一楼东侧·公共用电	邱彩云东侧公共电	中		费项名取自旧池名;账册一期行63:范围『宇劲/邱彩云D101、叶子涛D103』→首层;侧向取旧名『东侧』		待人工:账册行63 受益人=宇劲/邱彩云D101/叶子涛D103,前两者租户档缺失(D101 现为胡广清)	
62	D201东侧电	一期 D座	二楼	东侧	公共用电	一期 D座·二楼东侧·公共用电	二楼东侧	高			高	绑定表用途字段『公共用电/汤周杰』	1户
63	D201西侧电	一期 D座	二楼	西侧	公共用电	一期 D座·二楼西侧·公共用电	二楼西侧	高			高	绑定表用途字段『公共用电/汤周杰』	1户
64	金纳D301东侧公共电	一期 D座	三楼	东侧	公共用电	一期 D座·三楼东侧·公共用电	三楼东侧	高	金纳		高	绑定表用途字段『公共用电/金纳』	1户
65	金纳D301西侧公共电	一期 D座	三楼	西侧	公共用电	一期 D座·三楼西侧·公共用电	三楼西侧	高	金纳		高	绑定表用途字段『公共用电/金纳』	1户
66	飞度东侧公共电	一期 D座	四楼	东侧	公共用电	一期 D座·四楼东侧·公共用电	四楼东侧	高	飞度		高	绑定表用途字段『公共用电/飞度』	1户
67	一元兰欣西侧公共电	一期 D座	四楼	西侧	公共用电	一期 D座·四楼西侧·公共用电	四楼西侧	高	一元兰欣		高	绑定表用途字段『公共用电/一元兰欣』	1户
68	D东侧楼梯间	一期 D座			楼梯间	一期 D座·楼梯间	天面;天面	高				待人工:D座楼梯间实收5份>分母4;『宇劲』『邱彩云』租户档缺失(D101 现为胡广清)	
69	D东侧货梯	一期 D座		东侧	货梯	一期 D座·东侧·货梯	天面	高			高	账册D座货梯 2F/3F各摊两梯,4F飞度只收东梯	3户
70	D西侧货梯	一期 D座		西侧	货梯	一期 D座·西侧·货梯	天面	高			高	账册D座货梯 4F一元兰欣只收西梯	3户
71	E二楼东侧公共电	一期 E座	二楼	东侧	公共用电	一期 E座·二楼东侧·公共用电	二楼东侧	高			高	绑定表用途字段『公共用电/张文意』	1户
72	天玛E201西侧公共电	一期 E座	二楼	西侧	公共用电	一期 E座·二楼西侧·公共用电	二楼西侧	高	天玛		高	绑定表用途字段『公共用电/天玛』	1户
73	翔海E301东侧公共电	一期 E座	三楼	东侧	公共用电	一期 E座·三楼东侧·公共用电	三楼东侧	高	翔海		高	绑定表用途字段『公共用电/翔海』	1户
74	翔海E301西侧公共电	一期 E座	三楼	西侧	公共用电	一期 E座·三楼西侧·公共用电	三楼西侧	高	翔海		高	绑定表用途字段『公共用电/翔海』	1户
75	翔海E401东侧公共电	一期 E座	四楼	东侧	公共用电	一期 E座·四楼东侧·公共用电	四楼东侧	高	翔海		高	绑定表用途字段『公共用电/翔海』	1户
76	翔海E401西侧公共电	一期 E座	四楼	西侧	公共用电	一期 E座·四楼西侧·公共用电	四楼西侧	高	翔海		高	绑定表用途字段『公共用电/翔海』	1户
77	E东侧楼梯间	一期 E座			楼梯间	一期 E座·楼梯间	天面;天面	高			中	账册E座楼梯间 信成洋半份;翔海走 zh 下段专表并入户内用量	5户
78	E东侧货梯	一期 E座		东侧	货梯	一期 E座·东侧·货梯	天面	高			中	账册E座东侧货梯 张文意整份;翔海走专表	2户
79	E西侧货梯	一期 E座		西侧	货梯	一期 E座·西侧·货梯	天面	高			中	账册E座西侧货梯 天玛整份;翔海走专表	2户
80	思汗F101东侧公共电	一期 F座	一楼	东侧	公共用电	一期 F座·一楼东侧·公共用电	一楼东侧	高	思汗		高	绑定表用途字段『公共用电/思汗』	1户
81	优凯F201东侧公共电	一期 F座	二楼	东侧	公共用电	一期 F座·二楼东侧·公共用电	二楼东侧	高			高	绑定表用途字段『公共用电/桑尼号』	1户
82	优凯F201西侧公共电	一期 F座	二楼	西侧	公共用电	一期 F座·二楼西侧·公共用电	二楼西侧	高			高	绑定表用途字段『公共用电/桑尼号』	1户
83	优凯F301东侧公共电	一期 F座	三楼	东侧	公共用电	一期 F座·三楼东侧·公共用电	三楼东侧	高			高	绑定表用途字段『公共用电/桑尼号』	1户
84	优凯F301西侧公共电	一期 F座	三楼	西侧	公共用电	一期 F座·三楼西侧·公共用电	三楼西侧	高			中	账册 zh F79『已合计三楼的公摊』:F201+F301 东西四表同归桑尼号	1户
85	F401东侧公共电	一期 F座	四楼	东侧	公共用电	一期 F座·四楼东侧·公共用电	四楼东侧	高				待人工:账册行91-92 受益人=张执盛,租户档缺失(F401 现为博浩);zh F82 是唯一引 AD 列而非 AC 列的下游公式	
86	F401西侧公共电	一期 F座	四楼	西侧	公共用电	一期 F座·四楼西侧·公共用电	四楼西侧	高				待人工:同池85(F401 西侧表)	
87	F东侧楼梯间	一期 F座			楼梯间	一期 F座·楼梯间	天面;天面	高			中	账册F座楼梯间 4户各整份,第4户『张执盛』租户档缺失(F401 现为博浩)待补	3户
88	F东侧货梯	一期 F座		东侧	货梯	一期 F座·东侧·货梯	天面	高				待人工:F座东侧货梯:思汗/桑尼号/曾绍良/张执盛组合收取,doc 未拆到户	
89	F西侧货梯	一期 F座		西侧	货梯	一期 F座·西侧·货梯	天面	高				待人工:F座西侧货梯(+200度全在西梯):同上未拆到户	
90	宿舍路灯公摊	宿舍区(楼栋置空)			路灯	宿舍区·路灯	一楼;四栋电梯;宿舍路灯;一二路灯2	高		绑定表跨楼栋(取众数);绑定表用途混合(电梯/路灯)→取上位词		园区/期级池,受益人=该期(宿舍区)在租租户自动带出(拍板#5),不落库	
91	宿舍绿化水公摊	宿舍区(楼栋置空)			绿化水	宿舍区·绿化水	无绑定表	中		费项名取自旧池名;无电表,手输84吨×4.45÷15510㎡ → 宿舍区级		园区/期级池,受益人=该期(宿舍区)在租租户自动带出(拍板#5),不落库	
